Equipment_ID,Date,Maintenance_Type,Issue_Description,Target
Equipment_3,2023-08-08,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-04-17,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-03-21,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2023-02-20,Preventive Maintenance,Vibration Issue,Failure
Equipment_1,2023-05-05,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_3,2023-05-31,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2022-12-06,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2022-12-17,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-06-02,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-04-20,Scheduled Inspection,Normal Maintenance,Failure
Equipment_1,2023-03-20,Scheduled Inspection,Normal Maintenance,Failure
Equipment_2,2022-11-27,Corrective Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-10-06,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2023-07-20,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-09-12,Scheduled Inspection,Vibration Issue,Failure
Equipment_1,2023-05-22,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_2,2023-01-17,Corrective Maintenance,Vibration Issue,Failure
Equipment_3,2023-05-08,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2022-12-24,Corrective Maintenance,Normal Maintenance,Failure
Equipment_1,2023-04-09,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2022-10-17,Preventive Maintenance,Wear and Tear,Failure
Equipment_1,2023-03-28,Preventive Maintenance,Normal Maintenance,Failure
Equipment_3,2022-12-04,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2023-07-31,Scheduled Inspection,Sensor Failure,Failure
Equipment_3,2023-07-15,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-03-26,Scheduled Inspection,Normal Maintenance,Maintenance
Equipment_1,2023-09-06,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_3,2023-02-21,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-06-29,Scheduled Inspection,Sensor Failure,Failure
Equipment_1,2023-04-13,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_2,2023-09-03,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2022-11-15,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_3,2023-06-25,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2022-12-21,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-03-21,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2023-07-09,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_1,2023-07-16,Corrective Maintenance,Wear and Tear,Maintenance
Equipment_3,2022-12-01,Scheduled Inspection,Wear and Tear,Failure
Equipment_3,2023-01-20,Preventive Maintenance,Vibration Issue,Failure
Equipment_3,2023-09-30,Preventive Maintenance,Wear and Tear,Failure
Equipment_3,2023-08-11,Corrective Maintenance,Sensor Failure,Maintenance
Equipment_1,2023-04-04,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2023-08-11,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-05-23,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-08-05,Preventive Maintenance,Wear and Tear,Failure
Equipment_2,2022-12-19,Preventive Maintenance,Sensor Failure,Failure
Equipment_3,2022-12-06,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-07-15,Scheduled Inspection,Sensor Failure,Maintenance
Equipment_3,2023-08-24,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2023-01-01,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_3,2023-08-30,Corrective Maintenance,Wear and Tear,Failure
Equipment_3,2023-02-05,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_3,2022-11-18,Preventive Maintenance,Vibration Issue,Failure
Equipment_2,2022-11-02,Preventive Maintenance,Sensor Failure,Maintenance
Equipment_3,2022-12-14,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-03-09,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_1,2023-04-22,Scheduled Inspection,Wear and Tear,Maintenance
Equipment_2,2023-09-10,Preventive Maintenance,Vibration Issue,Maintenance
Equipment_2,2023-06-03,Scheduled Inspection,Normal Maintenance,Failure
Equipment_1,2023-07-31,Preventive Maintenance,Normal Maintenance,Failure
Equipment_1,2023-09-20,Corrective Maintenance,Sensor Failure,Failure
Equipment_3,2023-05-03,Corrective Maintenance,Vibration Issue,Failure
Equipment_2,2023-01-09,Preventive Maintenance,Normal Maintenance,Maintenance
Equipment_2,2023-03-18,Preventive Maintenance,Sensor Failure,Failure
Equipment_2,2023-07-08,Corrective Maintenance,Normal Maintenance,Maintenance
Equipment_3,2023-07-13,Corrective Maintenance,Sensor Failure,Failure
Equipment_2,2023-04-29,Scheduled Inspection,Vibration Issue,Maintenance
Equipment_1,2023-03-07,Preventive Maintenance,Wear and Tear,Maintenance
Equipment_1,2023-08-13,Corrective Maintenance,Sensor Failure,Maintenance
